playname,rolename,actnum,actname
Størst av alt er kjærligheten,Sunniva Du Mond Nordal,1,Hoved
Størst av alt er kjærligheten,Natalie Grøndahl Tangen,1,Hoved
Størst av alt er kjærligheten,Jo Saberniak,1,Hoved
Størst av alt er kjærligheten,Åsmund Flaten,1,Hoved
Størst av alt er kjærligheten,Marte M. Steinholt,1,Hoved
Størst av alt er kjærligheten,Tor Ivar Hagen,1,Hoved
Størst av alt er kjærligheten,Trond-Ove Skrødal,1,Hoved
